symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-04-22 00:00:00+00:00,276.1,277.9,272.2,273.61,29264342,67.59560802,68.03628927,66.64079863,66.98599895,117057368,0,1
AAPL,2020-04-23 00:00:00+00:00,275.03,281.75,274.87,275.87,31203582,67.33364749,68.97885751,67.29447583,67.53929875,124814328,0,1
AAPL,2020-04-24 00:00:00+00:00,282.97,283.01,277,277.2,31627183,69.27754147,69.28733439,67.81594864,67.86491323,126508732,0,1
AAPL,2020-04-27 00:00:00+00:00,283.17,284.54,279.95,281.8,29271893,69.32650606,69.66191346,68.53817626,68.99109866,117087572,0,1
AAPL,2020-04-28 00:00:00+00:00,278.58,285.83,278.2,285.08,28001187,68.20276886,69.97773502,68.10973615,69.79411783,112004748,0,1
AAPL,2020-04-29 00:00:00+00:00,287.73,289.67,283.89,284.73,34320204,70.44289857,70.91785503,69.50277856,69.70842981,137280816,0,1
AAPL,2020-04-30 00:00:00+00:00,293.8,294.53,288.35,289.96,45765968,71.92897369,72.10769442,70.59468878,70.98885368,183063872,0,1
AAPL,2020-05-01 00:00:00+00:00,289.07,299,285.85,286.25,60154175,70.77096128,73.20205287,69.98263148,70.08056065,240616700,0,1
AAPL,2020-05-04 00:00:00+00:00,293.16,293.69,286.32,289.17,33391986,71.77228702,71.90204317,70.09769825,70.79544357,133567944,0,1
AAPL,2020-05-05 00:00:00+00:00,297.56,301,294.46,295.06,36937795,72.84950787,73.69169871,72.09055682,72.23745057,147751180,0,1
AAPL,2020-05-06 00:00:00+00:00,300.63,303.24,298.87,300.46,35583438,73.60111423,74.24010205,73.17022589,73.55949433,142333752,0,1
AAPL,2020-05-07 00:00:00+00:00,303.74,305.17,301.97,303.22,28803764,74.36251351,74.71261028,73.92917694,74.23520559,115215056,0,1
AAPL,2020-05-08 00:00:00+00:00,310.13,310.35,304.29,305.64,33511985,76.12768675,76.18169021,74.69414053,75.02552536,134047940,0.82,1
AAPL,2020-05-11 00:00:00+00:00,315.01,317.05,307.24,308.1,36486561,77.32558154,77.82634084,75.41827775,75.62938216,145946244,0,1
